timestamp,message
1769073488808,"{""timestamp"":""2026-01-22T09:18:08.808241Z"",""level"":""INFO"",""message"":""[DASH0] telemetry event path=/v1/telemetry len=12517 body=[{\""time\"":\""2026-01-22T09:18:07.797Z\"",\""type\"":\""platform.initStart\"",\""record\"":{\""initializationType\"":\""on-demand\"",\""phase\"":\""init\"",\""runtimeVersion\"":\""nodejs:24.v27\"",\""runtimeVersionArn\"":\""arn:aws:lambda:us-west-2::runtime:2fada9df902022a65c4ba098836cd6754ac2c6d6407669cd728227413346057b\""}},{\""time\"":\""2026-01-22T09:18:07.881Z\"",\""type\"":\""platform.telemetrySubscription\"",\""record\"":{\""name\"":\""lrap\"",\""state\"":\""Subscribed\"",\""types\"":[\""platform\"",\""function\""]}},{\""time\"":\""2026-01-22T09:18:07.892Z\"",\""type\"":\""function\"",\""record\"":\""starting execution of user handler\
\""},{\""time\"":\""2026-01-22T09:18:08.017Z\"",\""type\"":\""function\"",\""record\"":\""[timing-loader] Initialized\
\""},{\""time\"":\""2026-01-22T09:18:08.060Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.0ms [new]\\t./baggage/utils\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.084Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 35.2ms [new]\\t@opentelemetry/api@1.4.1\\tnode_modules/@opentelemetry/api/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.089Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 47.0ms [new]\\t./baggage/propagation/W3CBaggagePropagator\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.107Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 11.7ms [new]\\t../../utils/environment\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.107Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 12.8ms [new]\\t./environment\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.124Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 11.5ms [new]\\t@opentelemetry/semantic-conventions@1.17.1\\tnode_modules/@opentelemetry/semantic-conventions/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.124Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 13.7ms [new]\\t./sdk-info\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.127Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 33.2ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.127Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 34.0ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.128Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 35.0ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.150Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 109.2ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.181Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.9ms [new]\\t./sdk-info\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.182Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 19.1ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.182Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 19.6ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.182Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 20.0ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.194Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 37.1ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.195Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 40.0ms [new]\\t../../OTLPExporterBase\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.219Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 14.5ms [new]\\thttps\\thttps\
\""},{\""time\"":\""2026-01-22T09:18:08.223Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 27.8ms [new]\\t./util\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.223Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 68.6ms [new]\\t./OTLPExporterNodeBase\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.224Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 69.3ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.226Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 71.6ms [new]\\t./platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.228Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 75.0ms [new]\\t@opentelemetry/otlp-exporter-base@0.51.0\\tnode_modules/@opentelemetry/otlp-exporter-base/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.259Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 19.0ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.259Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 19.5ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.259Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 20.0ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.272Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 39.3ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.272Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 40.0ms [new]\\t./common\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.331Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.3ms [new]\\t./sdk-info\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.332Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 17.7ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.332Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 18.2ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.332Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 18.7ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.347Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 44.3ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.347Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 45.1ms [new]\\t./LastValue\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.349Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 56.4ms [new]\\t../aggregator\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.349Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 57.8ms [new]\\t../view/Aggregation\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.349Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 58.6ms [new]\\t./AggregationSelector\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.350Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 61.1ms [new]\\t./export/MetricReader\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.375Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 20.2ms [new]\\t@opentelemetry/resources@1.17.1\\tnode_modules/@opentelemetry/resources/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.387Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 11.6ms [new]\\t./state/MeterProviderSharedState\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.388Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 35.4ms [new]\\t./MeterProvider\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.390Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 103.9ms [new]\\t@opentelemetry/sdk-metrics@1.24.0\\tnode_modules/@opentelemetry/sdk-metrics/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.392Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 111.8ms [new]\\t./internal\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.392Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 112.1ms [new]\\t./metrics\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.394Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 164.5ms [new]\\t@opentelemetry/otlp-transformer@0.51.0\\tnode_modules/@opentelemetry/otlp-transformer/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.396Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 356.9ms [new]\\t./OTLPTraceExporter\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.396Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 357.5ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.396Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 358.7ms [new]\\t./platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.396Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 360.2ms [new]\\t@opentelemetry/exporter-trace-otlp-http@0.51.0\\tnode_modules/@opentelemetry/exporter-trace-otlp-http/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.426Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 20.2ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.426Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 20.8ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.426Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 21.2ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.438Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 38.8ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.440Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 40.8ms [new]\\t./OTLPLogExporter\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.440Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 41.4ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.440Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 41.7ms [new]\\t./platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.440Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 42.6ms [new]\\t@opentelemetry/exporter-logs-otlp-http@0.51.0\\tnode_modules/@opentelemetry/exporter-logs-otlp-http/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.454Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.8ms [new]\\t./autoLoader\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.489Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 31.4ms [new]\\tsemver@7.7.3\\tnode_modules/semver/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.502Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 12.0ms [new]\\t./RequireInTheMiddleSingleton\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.505Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 50.0ms [new]\\t./instrumentation\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.506Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 51.2ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.506Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 51.5ms [new]\\t./platform/index\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.509Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 66.5ms [new]\\t@opentelemetry/instrumentation@0.51.0\\tnode_modules/@opentelemetry/instrumentation/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.540Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 22.5ms [new]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.548Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 37.8ms [new]\\t./Resource\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.555Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 45.3ms [new]\\t@opentelemetry/resources@1.17.1\\tnode_modules/@opentelemetry/resources/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.582Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 14.9ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.582Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 15.5ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.582Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 16.0ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.594Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 35.2ms [CACHED!]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.608Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 50.0ms [new]\\t./Tracer\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.622Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 12.6ms [CACHED!]\\t@opentelemetry/resources@1.17.1\\tnode_modules/@opentelemetry/resources/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.624Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 16.6ms [new]\\t./BasicTracerProvider\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.631Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 74.9ms [new]\\t@opentelemetry/sdk-trace-base@1.9.1\\tnode_modules/@opentelemetry/sdk-trace-base/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.654Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.6ms [CACHED!]\\t@opentelemetry/semantic-conventions@1.17.1\\tnode_modules/@opentelemetry/semantic-conventions/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.674Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.4ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.674Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 10.9ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.691Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 36.4ms [CACHED!]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.699Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 56.1ms [new]\\t./Resource\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.706Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 65.1ms [CACHED!]\\t@opentelemetry/resources@1.17.1\\tnode_modules/@opentelemetry/resources/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.711Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 76.5ms [new]\\t./LoggerProvider\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.714Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 80.4ms [new]\\t@opentelemetry/sdk-logs@0.50.0\\tnode_modules/@opentelemetry/sdk-logs/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.747Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 15.0ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.747Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 15.5ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.747Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 16.0ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.760Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 36.0ms [CACHED!]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.764Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 40.4ms [new]\\t./B3Propagator\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.765Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 41.9ms [new]\\t@opentelemetry/propagator-b3@1.9.1\\tnode_modules/@opentelemetry/propagator-b3/build/src/index.js\
\""},{\""time\"":\""2026-01-22T09:18:08.792Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 15.4ms [new]\\t./node\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.792Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 16.0ms [new]\\t../platform\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.793Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 16.6ms [new]\\t./common/time\\t\
\""},{\""time\"":\""2026-01-22T09:18:08.805Z\"",\""type\"":\""function\"",\""record\"":\""[timing] 36.0ms [CACHED!]\\t@opentelemetry/core@1.17.1\\tnode_modules/@opentelemetry/core/build/src/index.js\
\""}]"",""target"":""aws_lambda_runtime_api_proxy_rs::extension::telemetry_receiver""}
"
1769073488836,"[timing] 17.8ms [new]	../utils	
"
1769073488846,"[timing] 28.8ms [new]	./report	
"
1769073488846,"[timing] 31.0ms [new]	./dependencies	
"
1769073488887,"[timing] 19.5ms [new]	@lumigo/node-core@1.14.0	node_modules/@lumigo/node-core/lib/index.js
"
1769073488887,"[timing] 26.7ms [new]	./resources/detectors/ProcessEnvironmentDetector	
"
1769073488892,"[timing] 859.6ms [new]	./bootstrap	
"
1769073488894,"[timing] 863.5ms [CACHED!]	/opt/node_modules/@lumigo/opentelemetry/dist/src/distro.js@1.53.0	node_modules/@lumigo/opentelemetry/dist/src/distro.js
"
1769073488894,"init.mjs line 1
"
1769073488894,"init.mjs line 4
"
